Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
Hassallia	161.936948113516	73.8546268791998	81.2275846192235	248.014703097442	268.397542476361	282.657086157162	19.938814050503	100.088116028732	163.547127903729	92.668347833834	75.1676281368478	88.192110533477	66.0707323476305	250.728717078455	159.007395443682	42.0844048283664	96.2818463113726	102.939420884758	83.4577756548693	26.1036916414769	22.700911493736	275.514904100248	98.9998495881724	37.7556161982534	89.0034182939695	54.3792611586621	225.635498357149	109.264420728243	132.697961163845	172.638775477314	198.036680404293	152.877621812707	85.882022026118	86.3503630999851	44.1145913078805	80.006325059055
Ohtaekwangia	224.387968462226	75.9061442925109	207.459641797747	180.964216504238	192.420391990745	285.763207983065	183.187854088997	237.487186553381	404.563947972382	207.988958471494	94.6555317278823	220.480276333693	124.900836492781	194.376008679714	226.351704102183	244.323350253572	138.143518620665	187.236269483299	147.506766273722	112.805238879239	36.573690739908	180.056420729415	131.565589584282	456.697742090412	270.570391613667	201.656426796705	110.947841733626	306.72083818714	263.590507890088	198.49077485082	597.710708129321	211.447619779913	173.325535361802	140.627734191404	265.626156172983	132.73776657525
Algoriphagus	42.1181300026185	252.336641837266	40.6137923096118	0	89.1905679613755	33.5461157197512	0	62.1849241598629	0	0	0	222.842565008696	9.05078525310007	209.076715218516	21.0450964557814	0	123.491933312413	75.3808357660037	52.4037195972435	0	17.656264495128	30.8668149821855	0	0	0	0	19.9456794127866	0	0	7.44888117541709	41.4076695390795	0	0	0	0	0
Emticicia	11.618794483481	0	0	4.32583784472283	0	9.93958984288923	9.96940702525152	0	0	21.6226144945613	0	0	16.2914134555801	8.98376510704561	0	91.1828771281272	131.864267774271	73.759742523724	0	0	51.707631735732	21.1494843396456	112.026145586616	76.237301938781	0	0	0	0	0	0	0	0	14.8341674408749	0	14.0791248854938	13.6374417714298
Adhaeribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.007522763922	0	0	0	0	41.1379637888725	0	0	0	0	0	0	0	5.63164995419751	0
Pseudarcicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97084731981058	0	0	0	0
Spirosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8910431341116	0	0	0	0	0	0	0	0	0	0	0	0
Siphonobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42964610913172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lacihabitans	0	0	0	0	0	0	0	11.2525100860704	0	0	0	0	49.7793188920504	0	0	115.732113278008	0	9.7265594536779	0	0	0	99.4597371648198	31.263110396265	0	0	0	0	0	0	0	0	0	0	0	0	0
Huanghella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.14066123782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Imperialibacter	0	0	18.660391061173	10.0936216376866	0	0	7.47705526893864	0	0	13.3854280204427	0	9.44915470001539	40.7285336389503	0	8.41803858231257	0	0	0	0	0	10.089293997216	16.005015175948	0	0	23.1408887564321	7.93030891897155	0	0	0	0	0	0	0	23.0267634933294	48.8076329363784	32.7298602514316
Arcicella	0	0	0	0	0	3.10612182590288	0	0	0	0	0	0	24.4371201833702	0	0	88.8448546376624	0	8.91601283253807	0	0	35.312528990256	62.8768453340815	40.3815175951756	21.056016725949	0	0	0	0	0	0	0	0	0	0	0	0
Runella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8910431341116	0	0	0	0	0	0	0	0	0	0	0	0
Persicitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.8778080991267	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter	62.4510203487102	0	16.4650509363291	26.6760000424575	0	14.9093847643338	0	0	0	0	0	17.3234502833616	35.2980624870903	0	13.0947266835973	49.0984722997608	0	16.2109324227965	31.0540560576258	0	0	32.010030351896	91.1840719891061	150.29639525074	0	0	0	0	0	6.13437273269643	0	0	0	0	0	0
Sporocytophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0281349427888	0	0	0	0	0	5.71607684855286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseolinea	198.245680874394	157.966840824955	79.0322444943796	96.6103785321432	177.555297330516	118.03262938431	246.742823874975	136.214595778747	87.3071133922161	62.8085468651542	119.711407773498	170.872214158612	190.971568840411	46.5522373728727	180.520160709592	66.6336409782468	351.638047398056	45.3906107838302	128.097981237706	55.0042073873978	152.600571707892	198.347866644784	93.7893311887949	58.8116329242025	23.1408887564321	168.80228984668	150.839200559199	272.38059167255	488.364605371703	155.988335202852	588.709040838217	523.159134385043	113.208119943519	0	0	35.4573486057175
Marinoscillum	16.7020170700039	0	0	0	9.9100631068195	0	0	0	0	0	80.7356005914291	7.08686602501154	0	0	16.3684083544967	0	0	0	0	0	0	0	0	0	50.7319484275626	3.39870382241638	0	16.3896631092365	37.0109959708684	0	21.6040014986502	0	0	0	140.791248854938	150.92102227049
Ekhidna	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35035326940095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neobacillus	0	0	20.8557311860169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.264203862207	83.5225325410441	0	0	0	0	0	0	0	0	0
Lysinibacillus	49.3798765547941	0	126.232057178523	0	0	0	0	0	0	81.342216431921	114.143435318917	38.5840483583962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.8250839188635	0	18.9148414409491	0	0
Ureibacillus	0	0	5.4883503121097	0	0	0	0	13.6214595778747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3924065035791	0	0	0	0	0	0
Ammoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.91601283253807	0	0	0	0	0	0	0	74.7714840931603	0	0	0	0	0	0	0	0	0	0
Tumebacillus	0	0	125.134387116101	0	0	0	0	0	0	0	27.8398622729066	0	0	0	0	0	0	5.67382634797877	0	0	0	0	0	0	23.1408887564321	193.726117877734	0	0	0	0	0	0	0	0	0	26.3657207580977
Peribacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.1036916414769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.0354664223867	0
